current_task,eval_task,y_true,y_pred,correct,y_pred_str,y_true_str,top_1_pred,top_2_pred,top_1_value,top_2_value,selected_prompt_idx_0,selected_prompt_idx_1,selected_prompt_idx_2,selected_prompt_idx_3,selected_prompt_idx_4,similarity_0,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,similarity_6,similarity_7,similarity_8,similarity_9
3,1,0,0,True,apple,apple,0,10,7.907103,3.8878293,1,6,3,0,8,0.17595838,0.18066977,0.09796329,0.17752786,0.087761655,0.13638106,0.17893969,0.0916856,0.1609972,0.07589123
3,1,8,8,True,bicycle,bicycle,8,11,8.640033,1.3782154,9,5,8,6,3,0.16294745,0.13795324,0.16033167,0.16333339,0.16086835,0.18064079,0.16377373,0.1613117,0.17263007,0.21692428
3,1,8,8,True,bicycle,bicycle,8,16,8.258711,2.3370092,1,6,3,0,8,0.14805958,0.18294792,0.0788466,0.1516577,0.073644035,0.09358061,0.15185796,0.06949132,0.13500193,0.07158983
3,1,4,4,True,beaver,beaver,4,21,9.151407,3.0871136,7,4,2,5,8,0.18190596,0.17160995,0.30818132,0.17431597,0.3114475,0.25491455,0.1718579,0.32008448,0.23283984,0.09279233
3,1,6,6,True,bee,bee,6,14,8.8377695,2.4398184,5,8,0,3,6,0.19559067,0.16893108,0.18166569,0.19193237,0.1692175,0.20652555,0.19163136,0.18177517,0.20095189,0.16964611
3,1,9,9,True,bottle,bottle,9,16,5.1487,2.548638,1,6,3,0,8,0.33483708,0.3401151,0.2699796,0.33486155,0.25532532,0.30338943,0.33505425,0.2639882,0.33306718,0.23913099
3,1,2,11,False,boy,baby,11,2,7.202017,5.9594135,2,4,7,1,9,0.0878238,0.10411061,0.119284816,0.08648536,0.11092388,0.091308884,0.08091587,0.108972244,0.1000886,0.10127087
3,1,7,7,True,beetle,beetle,7,14,5.250794,1.9122729,8,9,0,3,5,0.16082136,0.15249339,0.14424352,0.15922862,0.13541813,0.15898491,0.15806025,0.1420191,0.16382292,0.16322324
3,1,6,6,True,bee,bee,6,14,5.344422,0.7111356,9,5,7,8,2,0.16290218,0.10684905,0.17246723,0.15778546,0.16498317,0.20485944,0.16011289,0.18268193,0.17549668,0.21958876
3,1,0,0,True,apple,apple,0,10,5.0363927,1.8601478,6,1,3,0,8,0.079434626,0.08072686,0.03957866,0.08071282,0.036185704,0.05960672,0.08191181,0.038058124,0.07145541,0.040802713
3,1,9,9,True,bottle,bottle,9,16,8.021112,4.284755,1,3,6,0,8,0.35758737,0.4027783,0.2337084,0.3610291,0.21427235,0.27209756,0.36088532,0.21699141,0.33803913,0.21358845
3,1,8,8,True,bicycle,bicycle,8,22,7.083995,1.3322104,5,9,7,4,2,0.10441483,0.07717766,0.12724973,0.103362516,0.12767348,0.13495804,0.10268207,0.12771448,0.118299216,0.13361742
3,1,1,1,True,aquarium_fish,aquarium_fish,1,10,5.0694594,1.7705132,9,1,8,0,3,0.08056223,0.0852995,0.07775399,0.07807973,0.06720921,0.07463863,0.07683777,0.0765192,0.0827472,0.1619372
3,1,4,4,True,beaver,beaver,4,26,2.778297,2.6616735,7,4,2,5,8,0.102817066,0.098254405,0.2881832,0.09351877,0.2914251,0.19955918,0.08688167,0.29859674,0.16579148,0.04134632
3,1,4,4,True,beaver,beaver,4,27,2.9564543,2.5052717,2,7,4,8,5,0.19891159,0.20716469,0.24947588,0.19177903,0.22600208,0.2157273,0.18342814,0.23777921,0.22012275,0.119406775
3,1,8,8,True,bicycle,bicycle,8,25,5.2107463,1.0610416,6,3,0,8,1,0.2830866,0.2573423,0.16851842,0.28802574,0.1570869,0.24587846,0.28983954,0.15923059,0.26420218,0.14895095
3,1,9,9,True,bottle,bottle,9,16,5.693215,3.3781493,1,6,3,0,8,0.33569777,0.3461839,0.25463855,0.3367699,0.23939821,0.29321852,0.337307,0.24603449,0.32931373,0.23557982
3,1,4,4,True,beaver,beaver,4,27,4.9702764,3.3256264,7,4,2,5,8,0.1741773,0.17438225,0.42030886,0.16228855,0.42891142,0.30046615,0.15355843,0.43152374,0.26172367,0.12403819
3,1,7,7,True,beetle,beetle,7,26,3.4419892,2.6364539,9,5,6,0,3,0.19060078,0.12190274,0.14500925,0.18737715,0.13441768,0.21308315,0.19175732,0.15540129,0.1871696,0.25507408
3,1,6,6,True,bee,bee,6,18,9.076097,3.568514,9,7,2,4,5,0.06313791,0.054011416,0.097020626,0.058470007,0.08926426,0.08455607,0.056380767,0.098921455,0.07571395,0.13141537
3,1,6,6,True,bee,bee,6,14,8.517073,2.8618102,8,5,2,7,0,0.1895489,0.18092313,0.19630231,0.18461029,0.18002933,0.19731693,0.18282618,0.19605818,0.19982557,0.18020841
3,1,2,2,True,baby,baby,2,11,4.202039,3.2630675,1,0,8,3,6,0.1569661,0.15764111,0.1327921,0.15503415,0.11771347,0.14256528,0.15263021,0.12643868,0.15562995,0.06942368
3,1,0,0,True,apple,apple,0,10,8.317979,1.6396204,6,0,3,1,8,0.053812105,0.05218456,0.023306552,0.053057384,0.016755491,0.039006844,0.05461249,0.025142815,0.046383463,0.01493039
3,1,0,0,True,apple,apple,0,10,7.7788277,2.1179364,1,0,6,3,8,0.11233897,0.121059485,0.07249434,0.11126556,0.062194236,0.08648783,0.11183902,0.07117504,0.10465621,0.044004057
3,1,4,4,True,beaver,beaver,4,27,7.2221975,2.143486,7,4,2,5,8,0.17764543,0.18158619,0.37175596,0.1672306,0.37442398,0.27463228,0.15919375,0.3800109,0.24761428,0.10084954
3,1,6,6,True,bee,bee,6,24,7.889738,0.9249288,5,8,7,0,2,0.2056601,0.13523528,0.20255549,0.19943246,0.19004196,0.24926737,0.20114405,0.21069244,0.21473387,0.1345367
3,1,1,1,True,aquarium_fish,aquarium_fish,1,18,3.7464862,3.4898043,7,2,9,4,5,0.10522444,0.09719947,0.16185215,0.09807011,0.14934266,0.13583454,0.09474705,0.16444625,0.12578677,0.16044219
3,1,6,6,True,bee,bee,6,14,8.357704,1.1062071,1,8,0,3,6,0.17251588,0.17924657,0.1491689,0.17034958,0.13673306,0.1568201,0.17003304,0.14815992,0.17332491,0.16422445
3,1,7,7,True,beetle,beetle,7,6,4.0330377,3.138923,5,8,0,6,3,0.1557796,0.11736971,0.1376744,0.15181825,0.12618275,0.17126048,0.15251862,0.1412656,0.15744586,0.14431855
3,1,8,8,True,bicycle,bicycle,8,22,7.638839,3.1888196,1,3,6,0,8,0.2136925,0.21759154,0.1480741,0.21489942,0.13536584,0.18026163,0.2147561,0.1395295,0.20429733,0.1713956
3,1,2,2,True,baby,baby,2,11,3.7998445,3.0004704,0,6,3,8,5,0.15522172,0.13639958,0.12281736,0.15227832,0.10835254,0.15034993,0.15231854,0.12224028,0.1518318,0.07044275
3,1,7,26,False,crab,beetle,26,7,5.9777966,4.313059,5,0,8,6,3,0.2563281,0.16576226,0.21686211,0.24461327,0.18914932,0.2911354,0.25049594,0.23458669,0.25499615,0.23473597
3,1,5,5,True,bed,bed,5,2,4.006819,2.601613,1,3,0,6,8,0.14969495,0.18075593,0.107624836,0.15261321,0.098485,0.10891418,0.14866723,0.091772825,0.14320381,0.047612507
3,1,9,9,True,bottle,bottle,9,16,6.709568,2.2714784,1,3,6,0,8,0.17232218,0.22598235,0.11312428,0.17533877,0.10102071,0.11033121,0.17245777,0.09775268,0.16193287,0.05860675
3,1,7,7,True,beetle,beetle,7,24,5.13064,4.738892,5,0,6,3,8,0.25378746,0.1784223,0.19254707,0.24999188,0.17404418,0.2722169,0.25222194,0.19430262,0.24761042,0.21739753
3,1,7,24,False,cockroach,beetle,24,7,7.8649964,6.8384123,5,6,0,3,8,0.26786652,0.1542422,0.19359249,0.26378664,0.17479381,0.30499554,0.268056,0.19974507,0.25880322,0.25366014
3,1,0,0,True,apple,apple,0,10,8.502344,2.4011931,6,3,0,1,8,0.06998062,0.060553446,0.021487657,0.0705467,0.015180426,0.051966295,0.07276737,0.022305861,0.058611892,0.043335047
3,1,6,6,True,bee,bee,6,14,9.122852,0.70525694,5,0,6,8,3,0.13343233,0.09551041,0.1052656,0.13173078,0.09821852,0.14457741,0.1333066,0.10866442,0.13183737,0.11678231
3,1,3,29,False,dinosaur,bear,29,3,4.1238575,3.7811854,7,2,4,5,8,0.15461288,0.1431933,0.1936042,0.15181097,0.18797824,0.18247347,0.14944975,0.19446658,0.1753159,0.093313284
3,1,6,6,True,bee,bee,6,10,7.648951,0.67551845,9,5,8,7,0,0.08635491,0.07166639,0.08615057,0.08330004,0.07914886,0.09511943,0.08348941,0.08765484,0.090224504,0.09732062
3,1,3,3,True,bear,bear,3,23,5.178153,1.8630897,4,2,7,8,5,0.1894951,0.21090145,0.28111994,0.18720938,0.2855669,0.22568439,0.1805533,0.2727812,0.22909288,0.08306702
3,1,2,2,True,baby,baby,2,11,7.297522,6.524697,7,2,4,5,8,0.14865963,0.14655928,0.19997817,0.14380777,0.19570622,0.176113,0.14143805,0.20071474,0.17239428,0.14845276
3,1,8,8,True,bicycle,bicycle,8,11,7.432096,1.2656207,9,7,4,2,5,0.06881021,0.058010012,0.08845321,0.068485714,0.08892674,0.08625777,0.067794755,0.089141764,0.07909102,0.14324608
3,1,2,2,True,baby,baby,2,11,3.592166,3.3590646,7,4,2,5,8,0.15975149,0.15308179,0.2627959,0.15573916,0.2657253,0.2180549,0.15300284,0.26979175,0.2020244,0.1606383
3,1,5,5,True,bed,bed,5,25,5.658518,2.8502274,6,3,0,8,5,0.30953145,0.25025547,0.17979965,0.31389594,0.16630308,0.28678355,0.31741714,0.17344067,0.28762728,0.16829078
3,1,9,9,True,bottle,bottle,9,16,4.778483,4.223881,1,6,3,0,8,0.46327123,0.49370164,0.32152477,0.46767235,0.29920274,0.37971902,0.46819672,0.3066775,0.4448752,0.21841319
3,1,7,7,True,beetle,beetle,7,24,7.35422,3.3044553,5,7,2,8,4,0.15803652,0.09599291,0.19407941,0.14361686,0.17226982,0.21132727,0.14603238,0.21094373,0.17394593,0.16986227
3,1,5,5,True,bed,bed,5,25,7.0092936,4.845713,1,3,6,0,8,0.18244362,0.19858025,0.110891804,0.18699035,0.102273434,0.13832015,0.1846557,0.094203785,0.16982923,0.046455875
3,1,2,2,True,baby,baby,2,11,7.4669676,7.280952,1,8,9,2,7,0.18278567,0.20326787,0.18977632,0.17978135,0.17384814,0.1725096,0.17721854,0.18617098,0.19308414,0.19076672
3,1,6,6,True,bee,bee,6,14,4.3347993,3.6659353,9,5,7,2,4,0.0898436,0.07311152,0.10506526,0.08722686,0.100714885,0.10854815,0.086808585,0.10825719,0.0994746,0.20659418
3,1,0,0,True,apple,apple,0,10,8.678585,1.9974958,6,3,0,1,8,0.26259887,0.24841245,0.16428731,0.26343492,0.14933176,0.22513835,0.26675078,0.16288266,0.24623483,0.16566822
3,1,8,8,True,bicycle,bicycle,8,25,7.568075,1.7308489,7,4,2,9,5,0.08365707,0.06641543,0.16280943,0.08073088,0.17043714,0.13647524,0.08038964,0.17304586,0.11483494,0.15703228
3,1,4,4,True,beaver,beaver,4,27,7.578967,3.6611755,7,4,2,5,8,0.10018965,0.09590038,0.2754279,0.092725255,0.2886805,0.19319913,0.08846593,0.2889053,0.16221042,0.07124436
3,1,0,0,True,apple,apple,0,10,8.404019,2.2029471,0,1,6,3,8,0.105506666,0.104897365,0.0743938,0.1035824,0.06378551,0.090063386,0.10421835,0.07295714,0.10028066,0.08593258
3,1,3,3,True,bear,bear,3,21,6.258008,2.8765032,4,7,2,5,8,0.10417931,0.102351636,0.23200142,0.100632176,0.24165636,0.17211342,0.09652053,0.23928922,0.15167852,0.13110657
3,1,2,2,True,baby,baby,2,11,5.5630813,5.381971,8,5,2,7,0,0.27242988,0.26222324,0.28450853,0.2683528,0.26792747,0.2850569,0.26575103,0.28117117,0.2893802,0.24867837
3,1,8,8,True,bicycle,bicycle,8,10,2.470389,1.951767,1,0,3,6,8,0.14846335,0.20634261,0.10447615,0.1477686,0.081046134,0.0876755,0.14315614,0.085952,0.13863975,0.07173539
3,1,6,18,False,caterpillar,bee,18,6,4.217989,3.6743264,2,7,4,9,8,0.13158652,0.13409631,0.17314488,0.12788853,0.16562194,0.15101698,0.12504978,0.17266518,0.15103254,0.15278006
3,1,2,2,True,baby,baby,2,11,7.029533,5.29742,9,5,2,7,8,0.06884944,0.061855387,0.077467136,0.06838112,0.074313186,0.077841416,0.06744608,0.07724518,0.07506948,0.091564484
3,1,8,8,True,bicycle,bicycle,8,11,7.7285075,1.705345,9,4,2,7,5,0.08003487,0.07962758,0.138393,0.07785675,0.14273079,0.11100774,0.075602636,0.13788036,0.1037161,0.16147892
3,1,1,1,True,aquarium_fish,aquarium_fish,1,10,6.3916063,2.1419685,1,0,3,8,6,0.30440575,0.37625656,0.25349596,0.3034162,0.23232292,0.23505388,0.29971114,0.23785992,0.30278942,0.14351398
3,1,2,2,True,baby,baby,2,11,6.8615956,5.4264135,8,5,2,0,3,0.16515985,0.15690948,0.16698541,0.16429228,0.15932378,0.17238064,0.16198549,0.16170996,0.17416742,0.1371384
3,1,9,23,False,cloud,bottle,23,9,3.5075417,2.911977,4,2,7,8,5,0.26758203,0.26816672,0.3147318,0.26654243,0.3190529,0.29735482,0.2631728,0.30959716,0.2998992,0.19064067
3,1,7,7,True,beetle,beetle,7,6,3.5302632,2.115045,5,8,0,7,3,0.07227202,0.06461089,0.069171906,0.06968047,0.061596576,0.075018734,0.069614306,0.07081458,0.074266106,0.057914756
3,1,9,9,True,bottle,bottle,9,16,6.4974103,4.224291,1,3,6,0,8,0.10363848,0.124442,0.06642895,0.10476206,0.05825167,0.072071955,0.104482755,0.06154314,0.09705338,0.07924385
3,1,3,3,True,bear,bear,3,4,5.4305983,2.6899562,4,2,7,8,1,0.20905375,0.2501036,0.33807775,0.20347886,0.33856505,0.24930827,0.1925015,0.32173437,0.25955668,0.11846201
3,1,1,1,True,aquarium_fish,aquarium_fish,1,26,6.8813057,1.692869,9,8,7,5,2,0.07367062,0.07264852,0.075637676,0.07278036,0.07387043,0.07590888,0.07243008,0.077110015,0.07856241,0.15826242
3,1,4,4,True,beaver,beaver,4,27,7.9951353,2.7020183,4,7,2,5,8,0.15576907,0.14418234,0.30025417,0.15056473,0.31400153,0.24125253,0.14715536,0.31027794,0.21272838,0.09675591
3,1,0,0,True,apple,apple,0,10,8.169498,1.1915591,0,6,8,3,1,0.09942752,0.09826507,0.08065296,0.09848295,0.07453036,0.091135375,0.09890428,0.08112782,0.09871434,0.08997234
3,1,0,0,True,apple,apple,0,10,8.607654,2.2599795,1,8,0,3,2,0.18101951,0.20499909,0.17600858,0.17615359,0.14936693,0.15939608,0.17060865,0.16382739,0.18443057,0.0935288
3,1,3,3,True,bear,bear,3,27,5.1353683,1.3298825,4,2,7,8,1,0.13166761,0.1560874,0.18968278,0.12964936,0.1917147,0.14631195,0.12481165,0.18142731,0.15681784,0.08122025
3,1,8,8,True,bicycle,bicycle,8,22,8.525407,1.2240407,8,0,3,6,9,0.21290158,0.20835389,0.18126914,0.21274321,0.17425257,0.20193319,0.21262336,0.17503619,0.21480441,0.21213609
3,1,7,7,True,beetle,beetle,7,24,5.084334,4.06875,1,0,8,3,6,0.16530417,0.17134987,0.14056098,0.16290314,0.12175222,0.14765139,0.15876918,0.12916462,0.1631387,0.104595095
3,1,0,0,True,apple,apple,0,10,7.628896,2.3623466,6,0,3,1,8,0.05674045,0.051208813,0.023350485,0.056668814,0.01562499,0.04307837,0.057541095,0.022663448,0.048449583,0.04217309
3,1,5,5,True,bed,bed,5,25,6.828011,4.0879145,1,3,0,6,8,0.20109218,0.20954809,0.14731532,0.20398787,0.13447136,0.16931072,0.19983965,0.12888671,0.19387555,0.09912041
3,1,1,1,True,aquarium_fish,aquarium_fish,1,29,4.304072,4.0087304,7,2,4,5,8,0.09434065,0.09087812,0.20006824,0.08580729,0.19865656,0.14903557,0.083640516,0.21106939,0.1320785,0.07327458
3,1,6,26,False,crab,bee,26,4,3.6196818,1.8475982,2,7,4,8,5,0.26843712,0.28999728,0.36350048,0.25564602,0.32935253,0.29629117,0.24169514,0.34148183,0.3040332,0.2112686
3,1,1,1,True,aquarium_fish,aquarium_fish,1,10,5.774565,2.1744654,2,7,4,8,5,0.16364707,0.17080216,0.20062762,0.1567323,0.18230093,0.17435773,0.15170525,0.19601093,0.18019302,0.16276233
3,1,1,1,True,aquarium_fish,aquarium_fish,1,27,7.63197,1.3554286,9,2,7,8,5,0.146983,0.1472852,0.16556522,0.13940832,0.14621073,0.15267508,0.13647693,0.16376406,0.1567874,0.18609324
3,1,7,7,True,beetle,beetle,7,24,6.351566,2.6620934,9,5,8,6,3,0.13141721,0.092019744,0.112904616,0.1315718,0.11086517,0.15036248,0.13261947,0.116593815,0.13436644,0.19946733
3,1,1,1,True,aquarium_fish,aquarium_fish,1,10,8.46612,2.6027904,8,5,7,2,9,0.25947508,0.25184852,0.26417956,0.25534943,0.25457254,0.26823497,0.25390837,0.264365,0.2746772,0.26095214
3,1,0,0,True,apple,apple,0,10,6.697224,2.205528,6,3,0,8,1,0.13669747,0.13219401,0.09975676,0.13723965,0.09495021,0.12393634,0.13730939,0.09507179,0.13289776,0.08370859
