current_task,eval_task,y_true,y_pred,correct,y_pred_str,y_true_str,top_1_pred,top_2_pred,top_1_value,top_2_value,selected_prompt_idx_0,selected_prompt_idx_1,selected_prompt_idx_2,selected_prompt_idx_3,selected_prompt_idx_4,similarity_0,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,similarity_6,similarity_7,similarity_8,similarity_9
9,1,0,0,True,apple,apple,0,57,8.020778,4.2266293,0,3,6,1,9,0.18808463,0.18743709,0.0941135,0.18798237,0.093979925,0.093840666,0.18790883,0.09400963,0.09319358,0.18057793
9,1,8,8,True,bicycle,bicycle,8,48,7.925287,2.726296,2,7,5,4,8,0.16581196,0.16616361,0.248677,0.16585667,0.24847735,0.2485539,0.16601264,0.24858423,0.24671778,0.17404787
9,1,8,8,True,bicycle,bicycle,8,16,7.9603186,2.4676015,1,0,3,6,9,0.18530466,0.18533687,0.097684585,0.18521869,0.09772083,0.097643994,0.18514194,0.09742252,0.09755797,0.17911434
9,1,4,4,True,beaver,beaver,4,55,8.343113,5.522583,7,2,4,5,9,0.18231617,0.18297896,0.23871116,0.18243635,0.23826808,0.2379869,0.18259695,0.23920938,0.17190526,0.20592432
9,1,6,6,True,bee,bee,6,14,8.632963,3.3313715,9,1,6,3,0,0.19471473,0.19519287,0.1855435,0.19475445,0.18536103,0.18505302,0.19482695,0.18558538,0.17094968,0.1989826
9,1,9,9,True,bottle,bottle,9,16,4.743687,2.429411,9,6,0,3,1,0.34337333,0.34333563,0.28769058,0.34334823,0.28719962,0.28678876,0.34342656,0.28782868,0.25516903,0.34855214
9,1,2,35,False,girl,baby,35,11,7.540937,7.1338587,9,1,6,0,3,0.11202843,0.11216833,0.08297533,0.11198718,0.08268307,0.08258543,0.112072736,0.08294843,0.056192867,0.117173
9,1,7,7,True,beetle,beetle,7,62,4.9561853,2.4627178,9,1,6,3,0,0.15564947,0.15583627,0.12444906,0.15566683,0.12417965,0.1240692,0.15568861,0.124663055,0.10492808,0.15901808
9,1,6,6,True,bee,bee,6,83,6.1532016,1.3832879,7,2,4,5,8,0.13894334,0.13955331,0.18062443,0.1391348,0.1801783,0.17989442,0.13927934,0.18116309,0.16972813,0.14612766
9,1,0,83,False,sweet_pepper,apple,83,0,4.961108,4.2549214,0,3,1,6,9,0.10235026,0.102301374,0.056458935,0.1023122,0.056465268,0.05641576,0.102267124,0.05624361,0.058458515,0.09846739
9,1,9,9,True,bottle,bottle,9,16,6.53539,3.9032533,0,3,6,1,9,0.36154133,0.36123496,0.22358963,0.3614202,0.22304825,0.22247371,0.3614052,0.22373244,0.21471728,0.35344946
9,1,8,8,True,bicycle,bicycle,8,48,7.114215,5.967804,5,2,4,7,8,0.09359919,0.09391572,0.16755,0.09358986,0.16750672,0.16759238,0.093709745,0.16721629,0.16265121,0.10148607
9,1,1,1,True,aquarium_fish,aquarium_fish,1,45,6.2085395,2.294042,9,5,4,2,7,0.09775835,0.097699784,0.10256489,0.09776676,0.10273721,0.102965035,0.09773321,0.10244023,0.08632165,0.10305247
9,1,4,50,False,mouse,beaver,50,36,5.5635557,5.106403,7,2,4,5,9,0.1033331,0.10453852,0.22830984,0.103588715,0.22781616,0.22745386,0.1038761,0.22888334,0.08351572,0.15320662
9,1,4,80,False,squirrel,beaver,80,42,8.532103,4.4190135,9,7,2,4,5,0.1966176,0.19731793,0.2207592,0.19673842,0.22031955,0.21974558,0.19685833,0.22120818,0.09928177,0.23187435
9,1,8,8,True,bicycle,bicycle,8,37,8.215158,3.4992933,0,3,6,1,8,0.31623423,0.31606436,0.30266085,0.316168,0.30286312,0.3030138,0.31615636,0.30215326,0.31462196,0.31315905
9,1,9,9,True,bottle,bottle,9,16,4.4855113,2.9297478,9,0,1,6,3,0.34231657,0.3422919,0.2602869,0.3422281,0.25998878,0.2595539,0.34224975,0.26021588,0.23454417,0.3436471
